Link;Mês e Ano;Data;Valor Previsto (R$);Valor Realizado (R$);Descrição;Arquivo
https://drive.google.com/open?id=1OhFHecGPcmXKmE0WC7L-UbbjGQF_8zfD&usp=drive_copy;01/2023;19/01/2023;644.235,00;644.235,00;128 Duodécimo 19/01/2023 R$. 644.235,00;Repasses\2023\Repasse 01-2023 - 128 Duodécimo 19-01-2023 R$. 644.235,00.pdf
https://drive.google.com/open?id=1-zGd1OC3l-Ua9cbzeXl7bC3SHXR8un93&usp=drive_copy;02/2023;19/02/2023;644.235,00;644.235,00;128 Duodécimo 19/02/2023 R$. 644.235,00;Repasses\2023\Repasse 02-2023 - 128 Duodécimo 19-02-2023 R$. 644.235,00.pdf
https://drive.google.com/open?id=1ZvFJTPQ0aebyAUCZCcKLldNZTjx61e8R&usp=drive_copy;03/2023;20/03/2023;659.235,00;659.235,00;128 Duodécimo 20/03/2023 R$. 659.235,00;Repasses\2023\Repasse 03-2023 - 128 Duodécimo 20-03-2023 R$. 659.235,00.pdf
https://drive.google.com/open?id=15xviUFrdRwy9i3c54r4FRAgaGN1e95WC&usp=drive_copy;04/2023;20/04/2023;659.235,00;659.235,00;128 Duodécimo 20/04/2023 R$. 659.235,00;Repasses\2023\Repasse 04-2023 - 128 Duodécimo 20-04-2023 R$. 659.235,00.pdf
https://drive.google.com/open?id=1iTUEY0gRWwVR-qerOiI_u8t4xOW061X1&usp=drive_copy;05/2023;19/05/2023;659.235,00;659.235,00;128 Duodécimo 19/05/2023 R$. 659.235,00;Repasses\2023\Repasse 05-2023 - 128 Duodécimo 19-05-2023 R$. 659.235,00.pdf
https://drive.google.com/open?id=1suRVkNqUi40uu2kTCPwXrrvZ56U2j9HP&usp=drive_copy;06/2023;20/06/2023;659.235,00;659.235,00;128 Duodécimo 20/06/2023 R$. 659.235,00;Repasses\2023\Repasse 06-2023 - 128 Duodécimo 20-06-2023 R$. 659.235,00.pdf
https://drive.google.com/open?id=1JJDUGNRVgwqSdxreoe-DmGlCaE1VNdUe&usp=drive_copy;07/2023;20/07/2023;659.235,00;659.235,00;128 Duodécimo 20/07/2023 R$. 659.235,00;Repasses\2023\Repasse 07-2023 - 128 Duodécimo 20-07-2023 R$. 659.235,00.pdf
https://drive.google.com/open?id=172Zh2ahaoSal2LA22wy9aw9JjPIK0wBl&usp=drive_copy;08/2023;20/08/2023;659.235,00;659.235,00;128 Duodécimo 20/08/2023 R$. 659.235,00;Repasses\2023\Repasse 08-2023 - 128 Duodécimo 20-08-2023 R$. 659.235,00.pdf
https://drive.google.com/open?id=1jDh6eLkiyL7bA5zdI_nepN-H7COQKo4x&usp=drive_copy;09/2023;20/09/2023;664.235,00;664.235,00;128 Duodécimo 20/09/2023 R$. 664.235,00;Repasses\2023\Repasse 09-2023 - 128 Duodécimo 20-09-2023 R$. 664.235,00.pdf
https://drive.google.com/open?id=1uYWsTpIlZ-sTlS1W-Qn1FrVFNaM2fl8L&usp=drive_copy;10/2023;20/10/2023;664.235,00;664.235,00;128 Duodécimo 20/10/2023 R$. 664.235,00;Repasses\2023\Repasse 10-2023 - 128 Duodécimo 20-10-2023 R$. 664.235,00.pdf
https://drive.google.com/open?id=18KY4OQbbbE7oO4MascLc2xJfQWZaOGyP&usp=drive_copy;11/2023;20/11/2023;664.235,00;664.235,00;128 Duodécimo 20/11/2023 R$. 664.235,00;Repasses\2023\Repasse 11-2023 - 128 Duodécimo 20-11-2023 R$. 664.235,00.pdf
https://drive.google.com/open?id=1aQY-zXSYrKtsC0fmKwaoIMvRYhl496q1&usp=drive_copy;12/2023;20/12/2023;714.235,00;714.235,00;128 Duodécimo 20/12/2023 R$. 714.235,00;Repasses\2023\Repasse 12-2023 - 128 Duodécimo 20-12-2023 R$. 714.235,00.pdf
https://drive.google.com/open?id=1byPLs2VsitPdGq58r6DO2JF9XmQc8juY&usp=drive_copy;01/2024;19/01/2024;714.235,00;714.235,00;128 Duodécimo 19/01/2024 R$. 714.235,00;Repasses\2024\Repasse 01-2024 - 128 Duodécimo 19-01-2024 R$. 714.235,00.pdf
https://drive.google.com/open?id=1sn9_UjAnG6kqu64ERIfZ10_-2e_L8q3g&usp=drive_copy;02/2024;20/02/2024;670.000,00;670.000,00;128 Duodécimo 20/02/2024 R$. 670.000,00;Repasses\2024\Repasse 02-2024 - 128 Duodécimo 20-02-2024 R$. 670.000,00.pdf
https://drive.google.com/open?id=1dm2InIWg5pOVxeydcwQYt4chQBRcXMDE&usp=drive_copy;03/2024;20/03/2024;670.000,00;670.000,00;128 Duodécimo 20/03/2024 R$. 670.000,00;Repasses\2024\Repasse 03-2024 - 128 Duodécimo 20-03-2024 R$. 670.000,00.pdf
